Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575085991000000000,79999368,80016956,80014800,79987084,79989248,79944876,79568036,79803304,79970692,80075116,79899900,80051008,79676740,79982024,79917772,79988304
1575085992000000000,79999368,80016956,80014800,79987252,79989376,79944876,79568036,79804952,79970692,80075116,79899900,80050976,79676740,79982024,79917804,79988304
1575085993000000000,79999368,80016956,80014800,79987252,79989872,79944876,79568036,79805084,79970692,80075116,79899900,80050976,79676740,79982024,79917804,79988336
1575085994000000000,79999368,80016956,80014800,79987284,79989872,79944876,79565000,79805084,79970692,80075240,79900868,80051024,79676740,79982416,79917756,79988448
1575085995000000000,79999368,80016956,80014832,79987292,79989872,79944876,79565136,79805332,79970692,80076728,79902844,80051212,79676740,79982472,79917832,79988432
1575085996000000000,79999368,80016956,80014832,79987480,79989872,79944876,79565732,79805332,79970692,80076652,79903228,80051188,79676740,79982472,79917960,79988464
1575085997000000000,79999416,80016956,80014832,79987480,79989872,79944876,79566816,79805332,79970724,80077228,79903228,80051292,79676740,79982472,79918028,79988572
1575085998000000000,79999416,80016956,80014832,79987480,79989872,79944876,79566884,79805856,79965476,80077260,79903228,80051292,79670148,79982596,79918096,79988712
1575085999000000000,79999416,80016956,80014832,79987528,79989872,79944432,79567152,79806600,79965476,80077260,79903228,80045784,79670148,79982596,79918488,79988852
1575086000000000000,79993648,80011956,80008344,79981856,79983904,79939420,79560460,79800744,79965476,80077260,79897860,80045800,79670148,79977324,79912000,79982840
1575086001000000000,79993600,80011956,80008344,79981732,79983888,79939404,79560460,79794684,79965476,80077292,79897732,80045800,79670148,79977324,79911968,79982808
1575086002000000000,79993196,80011956,80008344,79981732,79983880,79939404,79560460,79794932,79967552,80077292,79897732,80045816,79672208,79977324,79912000,79982980
1575086003000000000,79993612,80011956,80008344,79981732,79983880,79939420,79560180,79794964,79967028,80077292,79898256,80049352,79671560,79977324,79911968,79983104
1575086004000000000,79997256,80014364,80012644,79985748,79986700,79941252,79563992,79797832,79966364,80077316,79901400,80048808,79671560,79979904,79915204,79987148
1575086005000000000,79995736,80013260,80013304,79985016,79984464,79940216,79562708,79796728,79963820,80077316,79902020,80049128,79669700,79978728,79914144,79985788
1575086006000000000,79995172,80010424,80012884,79983932,79982536,79938288,79563192,79797364,79967264,80077316,79899292,80046740,79671296,79977696,79914328,79985572
1575086007000000000,79993096,80008388,80009316,79983492,79980560,79936156,79562108,79793460,79970036,80077316,79898840,80050196,79671296,79977180,79912828,79983464
1575086008000000000,79996408,80011208,80011160,79985380,79984504,79938628,79565196,79796688,79969988,80077316,79901452,80050228,79671296,79978452,79916536,79986104
1575086009000000000,79996408,80011208,80011160,79985916,79984504,79938628,79565132,79796688,79969988,80077316,79903448,80050292,79671296,79978452,79917060,79986880
1575086010000000000,79996408,80011208,80011160,79985916,79984504,79938628,79565132,79796688,79969956,80077316,79902440,80050260,79671296,79978452,79917092,79986952
1575086011000000000,79996408,80011208,80011160,79988284,79984504,79938628,79565528,79794336,79969964,80071548,79902440,80050292,79671296,79979056,79917156,79987092
1575086012000000000,79996408,80011208,80015744,79988284,79984536,79938628,79565528,79794460,79970044,80071548,79902440,80050408,79671296,79979688,79917172,79988220
1575086013000000000,79996472,80011208,80016036,79988284,79984536,79938628,79565652,79794460,79970928,80071548,79902688,80050408,79671296,79976804,79917552,79988344
1575086014000000000,79996472,80011712,80016044,79988292,79985048,79939140,79565652,79794460,79970896,80071548,79903200,80051296,79671296,79977200,79917380,79988296
1575086015000000000,79996472,80011712,80016572,79988332,79985048,79936528,79565916,79794972,79970896,80074508,79903200,80051296,79671296,79977232,79917892,79988792
1575086016000000000,79992032,80009036,80016572,79988892,79987372,79936668,79566564,79794972,79970896,80074508,79903200,80051296,79671296,79978668,79917892,79988792
1575086017000000000,79992032,80010008,80016572,79988908,79987372,79936764,79566564,79794972,79970928,80070888,79903200,80051248,79671296,79978692,79917892,79988792
1575086018000000000,79992032,80010216,80016572,79988908,79987620,79936764,79566564,79794972,79970928,80069068,79903200,80051372,79671264,79979124,79917892,79988916
1575086019000000000,79992032,80011296,80016604,79988924,79987636,79936892,79566548,79794972,79970928,80072780,79903200,80051372,79671256,79979464,79918204,79989076
1575086020000000000,79992032,80011348,80016604,79988924,79987636,79937204,79566548,79794972,79970928,80072780,79903900,80051372,79671288,79979464,79918220,79989044
1575086021000000000,79995324,80011844,80016604,79989044,79987636,79937048,79566548,79793604,79970928,80072780,79903900,80051372,79671288,79979968,79918220,79989076
1575086022000000000,79995604,80013560,80016604,79989084,79987636,79937576,79566564,79793604,79970928,80072780,79903900,80051420,79671320,79979968,79918220,79989200
1575086023000000000,79995760,80013684,80016604,79989148,79987636,79937636,79566884,79793604,79970928,80072780,79903900,80051796,79671320,79979968,79918408,79989248
1575086024000000000,79995760,80013840,80016728,79989228,79987776,79938976,79566956,79793604,79970928,80072780,79903900,80051796,79671320,79979968,79918352,79989200
1575086025000000000,79995728,80013924,80016852,79989236,79987776,79938992,79566940,79793604,79970928,80072780,79903900,80052200,79671832,79979968,79918600,79989192
1575086026000000000,79992380,80013924,80016984,79989220,79987900,79939240,79563312,79793604,79970928,80076240,79903908,80052464,79673084,79979968,79918632,79989232
1575086027000000000,79992380,80013924,80016984,79989360,79987900,79939268,79563668,79793604,79970928,80076768,79903908,80052400,79673196,79979968,79918576,79989232
1575086028000000000,79992744,80013924,80016984,79989360,79987908,79939268,79563620,79793604,79970928,80076768,79903920,80052276,79673064,79980432,79918576,79989200
1575086029000000000,79994560,80013924,80016984,79989360,79988048,79939276,79563568,79793604,79970928,80076744,79903920,80052284,79673112,79980668,79918700,79989200
1575086030000000000,79995028,80013924,80016984,79989688,79988544,79939244,79563648,79793604,79970928,80076720,79904488,80052284,79673244,79980668,79918700,79989200
1575086031000000000,79995152,80013924,80016984,79989688,79988544,79939244,79563680,79791164,79970928,80076712,79904488,80052844,79673244,79980668,79918748,79989216
1575086032000000000,79994972,80013924,80016984,79989688,79988544,79939584,79563804,79791164,79970928,80076712,79904488,80052844,79673668,79980700,79918796,79989492
1575086033000000000,79995532,80014396,80016984,79989688,79988544,79939708,79564536,79791164,79970928,80076712,79904488,80052876,79673668,79980700,79918796,79989492
1575086034000000000,79995532,80014640,80016984,79989688,79988856,79939956,79564536,79791164,79970928,80076712,79904488,80052924,79673736,79980780,79918740,79989444
1575086035000000000,79995532,80014640,80016984,79989704,79988856,79940448,79564676,79791164,79970928,80077256,79904488,80052924,79674240,79980780,79918740,79989444
1575086036000000000,79995532,80014640,80016984,79989752,79988856,79940448,79564800,79791164,79970928,80077256,79904488,80053336,79674240,79980780,79918740,79989460
1575086037000000000,79996104,80014640,80016984,79989752,79988856,79940448,79564944,79791164,79971436,80077676,79904488,80053164,79674240,79980780,79918740,79989460
1575086038000000000,79996104,80014640,80016984,79989224,79988856,79940448,79564936,79791164,79971436,80077676,79904488,80053164,79674256,79981140,79918740,79989460
1575086039000000000,79996096,80014640,80016984,79989240,79988856,79940448,79564944,79791164,79971436,80077676,79904488,80053164,79674256,79981148,79918756,79989508
1575086040000000000,79996088,80014640,80016984,79989240,79988912,79940408,79564968,79791164,79971436,80077676,79903776,80053220,79674256,79981148,79918912,79989508
1575086041000000000,79996096,80014640,80016984,79989116,79988920,79940408,79564968,79778124,79971436,80077676,79903776,80053220,79674256,79981148,79918912,79989572
1575086042000000000,79996096,80014640,80016984,79989240,79988920,79940392,79565088,79778124,79971436,80077708,79903776,80053236,79674256,79981124,79919160,79989572
1575086043000000000,79996128,80014640,80016984,79989240,79988936,79940392,79565104,79778124,79971436,80077708,79903776,80053268,79674256,79981124,79919036,79989572
1575086044000000000,79996128,80014640,80016984,79989240,79988936,79940392,79565104,79778124,79971436,80077708,79903776,80053340,79675488,79981124,79918988,79989524
1575086045000000000,79996528,80014640,80016984,79989288,79988936,79940392,79565112,79778124,79971436,80077708,79903776,80053340,79675496,79981124,79919100,79989988
1575086046000000000,79996652,80014640,80016984,79989288,79988936,79940392,79565128,79778124,79971436,80077708,79903776,80053340,79675496,79981048,79919100,79990112
1575086047000000000,79997268,80014640,80016984,79989288,79988936,79940392,79565176,79778124,79971436,80077708,79903776,80053292,79675752,79981048,79919100,79990112
1575086048000000000,79997268,80014640,80016984,79989360,79988936,79940392,79565160,79778124,79971436,80077900,79903776,80053416,79675752,79981048,79919124,79990112
1575086049000000000,79997776,80014640,80016984,79989360,79988936,79940392,79565080,79778124,79971436,80077884,79903776,80053416,79675876,79981048,79919172,79990176
1575086050000000000,79997776,80014640,80016984,79989420,79988936,79940392,79565112,79778124,79971436,80078112,79903760,80053416,79675876,79981048,79919204,79990176
1575086051000000000,79997892,80014640,80016984,79989420,79989000,79940392,79565120,79770800,79971436,80078096,79903760,80053416,79675908,79981048,79919252,79990224
1575086052000000000,79997892,80014640,80016984,79989508,79989000,79940368,79565120,79772904,79971436,80078096,79903760,80053384,79675908,79981048,79919500,79990252
1575086053000000000,79997924,80014640,80016984,79989508,79989000,79940392,79565120,79774052,79971436,80078096,79903760,80053448,79675908,79981048,79919524,79990336
